"id_uf","nome_uf","id_mesorregiao","nome_mesorregiao","id_microrregiao","nome_microrregiao","id_municipio","nome_municipio"
11,"Rondônia",1102,"Leste Rondoniense",11006,"Cacoal",111100015,"Alta Floresta D'Oeste"
11,"Rondônia",1102,"Leste Rondoniense",11003,"Ariquemes",111100023,"Ariquemes"
11,"Rondônia",1102,"Leste Rondoniense",11008,"Colorado do Oeste",111100031,"Cabixi"
11,"Rondônia",1102,"Leste Rondoniense",11006,"Cacoal",111100049,"Cacoal"
11,"Rondônia",1102,"Leste Rondoniense",11008,"Colorado do Oeste",111100056,"Cerejeiras"
11,"Rondônia",1102,"Leste Rondoniense",11008,"Colorado do Oeste",111100064,"Colorado do Oeste"
11,"Rondônia",1102,"Leste Rondoniense",11008,"Colorado do Oeste",111100072,"Corumbiara"
11,"Rondônia",1101,"Madeira-Guaporé",11002,"Guajará-Mirim",111100080,"Costa Marques"
11,"Rondônia",1102,"Leste Rondoniense",11006,"Cacoal",111100098,"Espigão D'Oeste"
11,"Rondônia",1101,"Madeira-Guaporé",11002,"Guajará-Mirim",111100106,"Guajará-Mirim"
11,"Rondônia",1102,"Leste Rondoniense",11004,"Ji-Paraná",111100114,"Jaru"
11,"Rondônia",1102,"Leste Rondoniense",11004,"Ji-Paraná",111100122,"Ji-Paraná"
11,"Rondônia",1102,"Leste Rondoniense",11003,"Ariquemes",111100130,"Machadinho D'Oeste"
11,"Rondônia",1102,"Leste Rondoniense",11005,"Alvorada D'Oeste",111100148,"Nova Brasilândia D'Oeste"
11,"Rondônia",1102,"Leste Rondoniense",11004,"Ji-Paraná",111100155,"Ouro Preto do Oeste"
11,"Rondônia",1102,"Leste Rondoniense",11007,"Vilhena",111100189,"Pimenta Bueno"
11,"Rondônia",1101,"Madeira-Guaporé",11001,"Porto Velho",111100205,"Porto Velho"
11,"Rondônia",1102,"Leste Rondoniense",11004,"Ji-Paraná",111100254,"Presidente Médici"
11,"Rondônia",1102,"Leste Rondoniense",11003,"Ariquemes",111100262,"Rio Crespo"
11,"Rondônia",1102,"Leste Rondoniense",11006,"Cacoal",111100288,"Rolim de Moura"
11,"Rondônia",1102,"Leste Rondoniense",11006,"Cacoal",111100296,"Santa Luzia D'Oeste"
11,"Rondônia",1102,"Leste Rondoniense",11007,"Vilhena",111100304,"Vilhena"
11,"Rondônia",1102,"Leste Rondoniense",11005,"Alvorada D'Oeste",111100320,"São Miguel do Guaporé"
11,"Rondônia",1101,"Madeira-Guaporé",11001,"Porto Velho",111100338,"Nova Mamoré"
11,"Rondônia",1102,"Leste Rondoniense",11005,"Alvorada D'Oeste",111100346,"Alvorada D'Oeste"
11,"Rondônia",1102,"Leste Rondoniense",11006,"Cacoal",111100379,"Alto Alegre dos Parecis"
11,"Rondônia",1102,"Leste Rondoniense",11003,"Ariquemes",111100403,"Alto Paraíso"
11,"Rondônia",1101,"Madeira-Guaporé",11001,"Porto Velho",111100452,"Buritis"
11,"Rondônia",1102,"Leste Rondoniense",11006,"Cacoal",111100502,"Novo Horizonte do Oeste"
11,"Rondônia",1102,"Leste Rondoniense",11003,"Ariquemes",111100601,"Cacaulândia"
11,"Rondônia",1101,"Madeira-Guaporé",11001,"Porto Velho",111100700,"Campo Novo de Rondônia"
11,"Rondônia",1101,"Madeira-Guaporé",11001,"Porto Velho",111100809,"Candeias do Jamari"
11,"Rondônia",1102,"Leste Rondoniense",11006,"Cacoal",111100908,"Castanheiras"
11,"Rondônia",1102,"Leste Rondoniense",11007,"Vilhena",111100924,"Chupinguaia"
11,"Rondônia",1101,"Madeira-Guaporé",11001,"Porto Velho",111100940,"Cujubim"
11,"Rondônia",1102,"Leste Rondoniense",11004,"Ji-Paraná",111101005,"Governador Jorge Teixeira"
11,"Rondônia",1101,"Madeira-Guaporé",11001,"Porto Velho",111101104,"Itapuã do Oeste"
11,"Rondônia",1102,"Leste Rondoniense",11006,"Cacoal",111101203,"Ministro Andreazza"
11,"Rondônia",1102,"Leste Rondoniense",11004,"Ji-Paraná",111101302,"Mirante da Serra"
11,"Rondônia",1102,"Leste Rondoniense",11003,"Ariquemes",111101401,"Monte Negro"
11,"Rondônia",1102,"Leste Rondoniense",11004,"Ji-Paraná",111101435,"Nova União"
11,"Rondônia",1102,"Leste Rondoniense",11007,"Vilhena",111101450,"Parecis"
11,"Rondônia",1102,"Leste Rondoniense",11008,"Colorado do Oeste",111101468,"Pimenteiras do Oeste"
11,"Rondônia",1102,"Leste Rondoniense",11007,"Vilhena",111101476,"Primavera de Rondônia"
11,"Rondônia",1102,"Leste Rondoniense",11007,"Vilhena",111101484,"São Felipe D'Oeste"
11,"Rondônia",1101,"Madeira-Guaporé",11002,"Guajará-Mirim",111101492,"São Francisco do Guaporé"
11,"Rondônia",1102,"Leste Rondoniense",11005,"Alvorada D'Oeste",111101500,"Seringueiras"
11,"Rondônia",1102,"Leste Rondoniense",11004,"Ji-Paraná",111101559,"Teixeirópolis"
11,"Rondônia",1102,"Leste Rondoniense",11004,"Ji-Paraná",111101609,"Theobroma"
11,"Rondônia",1102,"Leste Rondoniense",11004,"Ji-Paraná",111101708,"Urupá"
11,"Rondônia",1102,"Leste Rondoniense",11003,"Ariquemes",111101757,"Vale do Anari"
11,"Rondônia",1102,"Leste Rondoniense",11004,"Ji-Paraná",111101807,"Vale do Paraíso"
12,"Acre",1202,"Vale do Acre",12004,"Rio Branco",121200013,"Acrelândia"
12,"Acre",1202,"Vale do Acre",12005,"Brasiléia",121200054,"Assis Brasil"
12,"Acre",1202,"Vale do Acre",12005,"Brasiléia",121200104,"Brasiléia"
12,"Acre",1202,"Vale do Acre",12004,"Rio Branco",121200138,"Bujari"
12,"Acre",1202,"Vale do Acre",12004,"Rio Branco",121200179,"Capixaba"
12,"Acre",1201,"Vale do Juruá",12001,"Cruzeiro do Sul",121200203,"Cruzeiro do Sul"
12,"Acre",1202,"Vale do Acre",12005,"Brasiléia",121200252,"Epitaciolândia"
12,"Acre",1201,"Vale do Juruá",12002,"Tarauacá",121200302,"Feijó"
12,"Acre",1201,"Vale do Juruá",12002,"Tarauacá",121200328,"Jordão"
12,"Acre",1201,"Vale do Juruá",12001,"Cruzeiro do Sul",121200336,"Mâncio Lima"
12,"Acre",1202,"Vale do Acre",12003,"Sena Madureira",121200344,"Manoel Urbano"
12,"Acre",1201,"Vale do Juruá",12001,"Cruzeiro do Sul",121200351,"Marechal Thaumaturgo"
12,"Acre",1202,"Vale do Acre",12004,"Rio Branco",121200385,"Plácido de Castro"
12,"Acre",1201,"Vale do Juruá",12001,"Cruzeiro do Sul",121200393,"Porto Walter"
12,"Acre",1202,"Vale do Acre",12004,"Rio Branco",121200401,"Rio Branco"
12,"Acre",1201,"Vale do Juruá",12001,"Cruzeiro do Sul",121200427,"Rodrigues Alves"
