id,id_microrregiao,id_mesorregiao,id_estado,nome
1100015,11006,1102,11,Alta Floresta D'Oeste
1100023,11003,1102,11,Ariquemes
1100031,11008,1102,11,Cabixi
1100049,11006,1102,11,Cacoal
1100056,11008,1102,11,Cerejeiras
1100064,11008,1102,11,Colorado do Oeste
1100072,11008,1102,11,Corumbiara
1100080,11002,1101,11,Costa Marques
1100098,11006,1102,11,Espigão D'Oeste
1100106,11002,1101,11,Guajará-Mirim
1100114,11004,1102,11,Jaru
1100122,11004,1102,11,Ji-Paraná
1100130,11003,1102,11,Machadinho D'Oeste
1100148,11005,1102,11,Nova Brasilândia D'Oeste
1100155,11004,1102,11,Ouro Preto do Oeste
1100189,11007,1102,11,Pimenta Bueno
1100205,11001,1101,11,Porto Velho
1100254,11004,1102,11,Presidente Médici
1100262,11003,1102,11,Rio Crespo
1100288,11006,1102,11,Rolim de Moura
1100296,11006,1102,11,Santa Luzia D'Oeste
1100304,11007,1102,11,Vilhena
1100320,11005,1102,11,São Miguel do Guaporé
1100338,11001,1101,11,Nova Mamoré
1100346,11005,1102,11,Alvorada D'Oeste
1100379,11006,1102,11,Alto Alegre dos Parecis
1100403,11003,1102,11,Alto Paraíso
1100452,11001,1101,11,Buritis
1100502,11006,1102,11,Novo Horizonte do Oeste
1100601,11003,1102,11,Cacaulândia
1100700,11001,1101,11,Campo Novo de Rondônia
1100809,11001,1101,11,Candeias do Jamari
1100908,11006,1102,11,Castanheiras
1100924,11007,1102,11,Chupinguaia
1100940,11001,1101,11,Cujubim
1101005,11004,1102,11,Governador Jorge Teixeira
1101104,11001,1101,11,Itapuã do Oeste
1101203,11006,1102,11,Ministro Andreazza
1101302,11004,1102,11,Mirante da Serra
1101401,11003,1102,11,Monte Negro
1101435,11004,1102,11,Nova União
1101450,11007,1102,11,Parecis
1101468,11008,1102,11,Pimenteiras do Oeste
1101476,11007,1102,11,Primavera de Rondônia
1101484,11007,1102,11,São Felipe D'Oeste
1101492,11002,1101,11,São Francisco do Guaporé
1101500,11005,1102,11,Seringueiras
1101559,11004,1102,11,Teixeirópolis
1101609,11004,1102,11,Theobroma
1101708,11004,1102,11,Urupá
1101757,11003,1102,11,Vale do Anari
1101807,11004,1102,11,Vale do Paraíso
1200013,12004,1202,12,Acrelândia
1200054,12005,1202,12,Assis Brasil
1200104,12005,1202,12,Brasiléia
1200138,12004,1202,12,Bujari
1200179,12004,1202,12,Capixaba
1200203,12001,1201,12,Cruzeiro do Sul
1200252,12005,1202,12,Epitaciolândia
1200302,12002,1201,12,Feijó
1200328,12002,1201,12,Jordão
1200336,12001,1201,12,Mâncio Lima
1200344,12003,1202,12,Manoel Urbano
1200351,12001,1201,12,Marechal Thaumaturgo
1200385,12004,1202,12,Plácido de Castro
1200393,12001,1201,12,Porto Walter
1200401,12004,1202,12,Rio Branco
1200427,12001,1201,12,Rodrigues Alves
1200435,12003,1202,12,Santa Rosa do Purus
1200450,12004,1202,12,Senador Guiomard
1200500,12003,1202,12,Sena Madureira
1200609,12002,1201,12,Tarauacá
1200708,12005,1202,12,Xapuri
1200807,12004,1202,12,Porto Acre
1300029,13005,1303,13,Alvarães
1300060,13003,1302,13,Amaturá
1300086,13006,1303,13,Anamã
1300102,13006,1303,13,Anori
1300144,13013,1304,13,Apuí
1300201,13003,1302,13,Atalaia do Norte
1300300,13007,1303,13,Autazes
1300409,13001,1301,13,Barcelos
1300508,13010,1303,13,Barreirinha
1300607,13003,1302,13,Benjamin Constant
1300631,13006,1303,13,Beruri
1300680,13010,1303,13,Boa Vista do Ramos
1300706,13011,1304,13,Boca do Acre
1300805,13013,1304,13,Borba
1300839,13006,1303,13,Caapiranga
1300904,13012,1304,13,Canutama
1301001,13004,1302,13,Carauari
1301100,13007,1303,13,Careiro
1301159,13007,1303,13,Careiro da Várzea
1301209,13006,1303,13,Coari
1301308,13006,1303,13,Codajás
1301407,13004,1302,13,Eirunepé
1301506,13004,1302,13,Envira
1301605,13003,1302,13,Fonte Boa
1301654,13004,1302,13,Guajará
1301704,13013,1304,13,Humaitá
1301803,13004,1302,13,Ipixuna
1301852,13007,1303,13,Iranduba
1301902,13009,1303,13,Itacoatiara
1301951,13004,1302,13,Itamarati
1302009,13009,1303,13,Itapiranga
1302108,13002,1301,13,Japurá
1302207,13004,1302,13,Juruá
1302306,13003,1302,13,Jutaí
1302405,13012,1304,13,Lábrea
1302504,13007,1303,13,Manacapuru
1302553,13007,1303,13,Manaquiri
1302603,13007,1303,13,Manaus
1302702,13013,1304,13,Manicoré
1302801,13002,1301,13,Maraã
1302900,13010,1303,13,Maués
1303007,13010,1303,13,Nhamundá
1303106,13009,1303,13,Nova Olinda do Norte
1303205,13001,1301,13,Novo Airão
1303304,13013,1304,13,Novo Aripuanã
1303403,13010,1303,13,Parintins
1303502,13011,1304,13,Pauini
1303536,13008,1303,13,Presidente Figueiredo
